place_id,name,avg_rating,lat,lng,user_ratings_total,reviews
ChIJq9Z_wrBzj1QRTxNDocvoQk8,"The Vic, Ascend Hotel Collection",4.4,48.4427029,-123.3861167,82,"Everything was amazing! The room was spotless and tidy, wholly renovated, relaxed, quiet, and cozy. The beds and linens were super comfy and clean. The decoration was modern and chic. The bathroom was really clean. Also, the staff is very friendly and helpful. They put some chocolates and a lovely welcome letter for us in the room. Moreover, the location is perfect! Only a few minutes to downtown and excellent access to everything! We enjoyed our stay at this fantastic hotel. We'll definitely get back here again. Strongly recommended!AWESOME! Great room with board games, Foosball, ping-pong,TV and couches. Free complimentary snacks... Have you ever seen a mirror with a power button?! I haven't until I went to our room. We were like two idiots pressing buttons on and off.. great shower.... comfortable beds (except for pillows, but it's just me). The staff checked with us after we arrived if everything is good. We liked everything but breakfast. Flat pancakes that are hard to cut, oversugared waffles... I don't know. The rest is awesome.Pros: clean rooms, comfortable beds with great bedding, good location just outside of downtown, friendly service, an a nice rec room. Breakfast was tasty. Plenty of parking too.
Cons: There are no ironing boards or irons in the rooms, you have to call reception to request it. Which leads to the second problem: there are no clear instructions to dial reception anywhere in the room or on the phone. No vending machines, and only food and drink source in the hotel closes at 3 pm. Had to walk to an attached liquor store to buy a pop and chips.

Recommendation to hotel: Include a welcoming guide with information on how to dial reception (unless it's was only missing only in room 244) and how to get an iron/ironing board, essential for clientele. Partner up with a vending machine owner, usually it's free!

Overall: It's a good hotel, but I'll try a different hotel next time.The rooms are cute and clean and the staff are very attentive. One of my concerns was around safety - we came home around 10 pm on Thursday and couldn’t find parking, so we went to the underground parking. It was empty, except for a disheveled looking man smoking something. As two girls travelling by ourselves we did not feel safe parking there. We eventually found a spot outside. I would recommend the hotel add a gate or other security feature in the future. Otherwise we would definitely stay here again.Hotel is good and amenities are great 👍
Too bright at night tho. Rooms are good size and comfortable. My bed had some issues but not enough to bother staff. The price was amazing for what you get!
Only feedback would be training better staff when dealing with some complaints but overall the hotel was more than great!"
ChIJ4Rxmw5p0j1QRS4ikaNyNDds,Bedford Regency Hotel,3.6,48.4255461,-123.3678074,373,"My husband and I regularly stay in a harbour view room on the 3rd floor and we love it, especially the wood burning fireplace and the jacuzzi tub. This is an old building, but immaculately clean and comfortable. The location is ideal for checking out the sights and scene of downtown Victoria. The staff are wonderful as well. 100 percent would recommend!Spent a couple days at this hotel. I found it quite charming, I loved the older style architecture and styling choices. It wasn’t just another bland business hotel. It was a great price in the heart of downtown  Victoria and had two pubs on either side. The carpet was actually really thick and they had personal AC for each room. The staff was friendly and prompt (when the elevators broke in the morning they were fixed by the time I returned in the late evening). The bed wasn’t the comfiest and I wasn’t a fan of how my room window was facing the windows of other rooms across from me (separated by about 2 - 3 meters). I didn’t see anyone else in the other rooms but if it was busier it may have been more of a hinderance.

Overall, I would visit it again and recommend for others who are cost conscious and looking for a unique feel.Clean, very friendly and efficient staff, and within 15-20 minute walking distance to everything you'd want to see near the old town. Nothing fancy, but it's comfortable and comes with all the basic amenities. My booking came with breakfast at the Bard & Banker which was excellent, and the hotel lets you leave your bag free of charge at reception if you want to check out in the morning, but will not be leaving the island until the evening.Lovely boutique style hotel, reminds me of Paris! Fabulous location to park your car offsite, and walk to everything. Dozens of restaurants with outdoor patio seating as well all within walking distance. Our room was quiet, very clean, recently updated and the only downside was a lack of working plug-ins...but it did not hinder a great three night stay. Would absolutely  stay again and great value in the inner harbourSuper cute hotel. Will stay again.
You can hear the music from pubs, but considering it's in the heart of vibrant Old Town, it was fine. You feel like you're in the mix of things. Everything is within walking distance. Enjoy your stay!"
ChIJccwg7HBzj1QRzs4hO1A-GWU,Days Inn by Wyndham Victoria Uptown,3.7,48.44283919999999,-123.3825082,847,"This is actually pretty decent place to crash a night if you are in budget. The check in and check out process were very straightforward. I could access my room from side stairs so that was a bonus. No unnecessary noises or anything, comfy beds. So I mean you can't go wrong with their affordable nightly tariff. Locations is not bad either, apparently there is a path that leads straight to downtown. Also it's near Selkirk Trestle so at night time you and your friends can take advantage and check out that spot as it comes in one of the places to see when in Victoria. Overall I was very satisfied and if you want to visit Victoria in a budget, you should def consider this.This is an older hotel but the rooms were clean. Probably could do with a little TLC. We only needed a place for our head at night so it did what it needed to do. Definitely not a romantic getaway if that's what you're looking for. The staff however were amazing, so friendly, so helpful, 100% on the staff.
This hotel is a 10 min taxi ride or drive into Victoria harbor, give or take with the traffic. I wouldn't recommend it, and I wouldn't deter people from staying here, just depends on what you're looking for.
Side note, it did look like there was lower income residents staying here also.This was part of a package deal with BC ferries, so I drove down from Sidney.  It has a fantastic location, directly across the street from Black Ball Ferry and the Victoria Clipper. Easily walkable to all the Inner Harbor attractions. Staff are great, food service is FAST! Only 2 things- the room I had-409- has a funky bathroom- it is one step up from the rest of the room while the toilet is very low. You may also want to check the temp of the hot water supply as it easily reaches a high enough temp to make a cup of tea and can be difficult to lower to a more tolerable temperature.
On the other hand WHERE can I purchase your pillows!!
Will definitely stay here again. Oh! The price is very reasonable.My expectations were different and I’m very disappointed. First, this hotel is way overpriced. I payed ~210 USD for a standard room which is a lot. The room has a parking lot view which isn’t great. The room is average sized. Facilities wise I was shocked to hear that they don’t have dental kits or even drinking water bottles. I need to fill up my water bottle from the gym and when I went there I found the water dispenser to be almost empty. I’m very disappointed with the stay. Better to spend a few more bucks and stay at a classier place such as Sheraton. I’m never going to any Days Inn again. Manveen was courteous and her hospitality was good.Pretty nice hotel.Little expensive but the rooms were pretty huge with the kitchenette. Also they have a beautiful water view from the place. Have a lot of parking. They do not have breakfast options as they have their own restaurant downstairs, so it could be a technique to get people into their own pub. Staff was helpful. Lighting is less in the room. They just have 2 lamps for Lighting."
ChIJTXYT-Z5zj1QRJiu1ds-766c,Red Lion Inn & Suites Victoria,3.9,48.4513519,-123.3750287,1184,"Unfortunately I found that the housekeeping wasn't what I would have liked. Corners weren't cleaned and it looked as if someone had been sitting on one of the beds. But other than that, decently clean. The fire door by my room would only close if you pulled it closed, so was always open, so much for stopping the flames from spreading. The good point was the well worn pool. It was a nice temperature and good size. Because of that pool I will try this hotel again.Hotel is ok for the price.  Everything was clean.  What sets this property apart from others is that front desk staff are exceptionally courteous and beyond-the-call personable.  Manager Chris couldn’t do enough to be helpful; personable and friendly.  Good experience.  It’s a little out of the city center, but there is good bus service to city center and a taxi is about $15 Canadian.A great location, close to Uptown mall and a brisk walk to downtown.  Galloping Goose trail runs behind the hotel and transports you to hidden beauty. Only issue is garbage collection in parking lot behind our room at 4:30 am a couple times. But desk staff and maid service is excellent and polite.While visibly old and a ""budget"" option, we loved our stay at Red Lion Inn. We got a half-basement suite with a kitchenette and were pleasantly surprised to find all essential kitchen items, which saved us for lunch and breakfast times. There was an electric stove, pot, pan, a sizeable refrigerator, microwave, coffee maker, kettle, plates, bowls, spoons and forks. It is an old building but it's clean and good quality. It was also right on the highway and near stores and shopping complexes, which was very convenient.Hotel is a bit old and rooms a little small, but price is excellent. Chinese restaurant in basement is adequate but price is expensive compared to other Chinese restaurants.  Attitude at restaurant also not the friendliest.  Location is perfect being in the middle between downtown and ferry terminal / Butchart Gardens, etc. But need a car to make it work."
ChIJa6Bl9Jtzj1QR8VMk7xb885k,Accent Inns Victoria,4.1,48.4500555,-123.3682031,814,"Cannot say enough about this wonderful place!  Actually, it’s the people and their limitless kindness who made it a place to remember.   I was in town for my dog’s surgery at the nearby animal hospital.  From contactless check in, personalized notes in my room, constant offers of help to make things easier, to inquiring about my dog’s status.  I have never stayed anywhere with such amazing customer service and I highly recommend the Accent Inn to anyone looking for a great place to stay.  Being pet friendly was just a bonus!  They really go above and beyond and I am SO grateful!I spent a week in Victoria in May with my husband, and we stayed at the Accent Inn on Maple street.  The service was impeccable and there is communication everywhere as to what amenities are available, who to contact and although we didn't need service, I felt the staff would be very attentive to any need.  The room was clean, and cleaned well during our stay, and the burger restaurant on site was great.  I would recommend this hotel to anyone staying in the Victoria area who wants to drive or take transit as it's not far from downtown and is in a great location!Very friendly, nice staff. Beds were comfortable. Basic necessities ok. But it's an old-style motel that really needs to be upgraded or better yet, rebuilt. We only stayed there cause pets were allowed and it was fairly reasonable, though for a bit more, we could had a nicer hotel (without the dog)The room is a motel room, it was clean and as expected, but nothing fancy. But what puts this place over the top is the service. Staff were all incredibly friendly, accommodating, and willing to go above and beyond. Accent Inns offers free bike rentals for guests as well. Location is good, a short drive or convenient bus ride to downtown Victoria.Great staff  level of excellence is high in all departments.  Located right in the heart of the city. Restaurant on site has a great selection of food and drinks. Beds are superior to most in the industry and who dsnt like a ruby ducky waiting for in the tub!!!"
ChIJc1X-toV0j1QRoz5sM-_rmBk,Ocean Island Inn Backpackers Suites,3.9,48.4276561,-123.3619654,1076,"I’ve stayed here twice now, and have had nothing but great experiences. The facilities are very clean and the staff are always so friendly and willing to answer any questions. The rooms I have stayed in have been thoroughly cleaned and the shared bathrooms have also always been clean when I’ve used them. The location is so central and great transit wise! The building is older and has so much cool character and a great vibe. Also you can’t beat the free breakfast provided, such an awesome addition. I’ve only had the dinner provided once but it was so good. They also have lockers you can leave your bag in for the day after you check out. I’d highly recommended staying here and I’ll definitely be back!This is by far one of the best hostels I’ve ever come across and I been to 25 countries and so so many hostels.
It was super clean and the room was just great.
The staff was great and super friendly.
The type of atmosphere you hope for in a hostel.
The laundry room was great . Easy to use front load washer and dryer.
The free breakfast was simple and convenient and the free dinner they offered every evening was just fantastic !
I honestly just loved this place and the location is amazing. Close to the bus to the ferry so easy to find and depart from.
I definitely recommend this place.
Hope to come stay again as it’s a jewel of a place that works well for every walk of life.This is a great hostel. The rooms and bathrooms were very clean. The staff was friendly and helpful. As a budget traveller I really appreciated that breakfast and supper come with the room, it makes a huge different in how expensive it is to travel to Victoria. Nice atmosphere in the hostel, not a party place. A diverse clientele, mostly people in their 20's and 30's, but also some older visitors. The downtown location is easy to get around on foot or with the buses. I am a woman travelling alone and I felt safe, both in the hostel and walking around the surrounding neighbourhood.Like any good hostel, it has a welcoming atmosphere and feeling of community. My room was clean and cozy, and kind of smelled a little bit like a nicely scented candle…? As someone who was visiting on foot, it was a great location within walking distance of the ferry terminal, restaurants, and the venue I went to see a show at. Awesome that they include a complimentary meal and drink as well!This is a great hostel! I have one of the micro room's, it's very clean, a nice bed that's pretty comfortable, window right beside the bed too which I love. The bathroom's are very clean. Location is great. A free lager beer down in the lounge for each night's stay is a nice touch too. Definitely among the best hostel's I've stayed at, I will come here again!"
ChIJEzpymnhzj1QR6WYd_lFwBbk,Arbutus Inn,3.6,48.4416375,-123.3698298,391,"Had a very nice stay :) exactly what we expected for a reasonable price. Rooms were clean and comfortable and the staff were friendly and polite. Would definitely stay again!We had a few of our guys stay at the Arbutus Inn for 2 weeks for a job they were doing in Victoria. We were so happy with the service and cleanliness of the hotel. We also appreciated Claudio the manager’s awesome service and all the stuff that he went above and beyond for us. Will use this hotel again in the future for sure!!The walls were dirty and had holes in some of them.
The microwave in our room was old and didn't work properly.
The plates for the outlets were practically coming off the wall, I pulled out my cell charger and hafl the plate started to bend out.
The AC didn't work properly, At one point water started dripping out of it right on to an electrical wall heater.
The staff were very nice but this place needs a bit of an update.5 stars for the cleanliness and other services but I am very upset with the behaviour of staff member. We were group of 8 people and booked two rooms. We were playing music at night having our dinner. Then, Receptionist guy come in the room. He didn’t ask for the permission to enter the room, which was totally unacceptable. Then he just threatened us if you guys are not going to stop the music your both rooms will be seized (in very bad manner). I agree the music volume was high, we co-operate with guy. But the thing is he should ask us for permission to enter the room. The second thing he should warn us first or tell us that your music is loud, please stop it.

I know we were also at fault to play the loud music. But that person should know about ethics and customer service.It's too good to stay at. Rooms are very nice . Staff is very accommodating. Every happing place is around 20 - 25 minutes drive only"
ChIJ0QaAqZZ0j1QRYg4YTePJCeY,Robert Porter Inn,4.4,48.4181936,-123.3665835,46,"Great location. Parking is extra $ but secure and easy to get to. Bed is super comfortable! And the area quiet.
Place is a bit run down and not 100% clean. Side table, floors and toilet could have used a better wipe down. Kind of a strange set up with the huge tub in the middle of the room. Took forever to fill and then the jets didn’t work. Kitchen set up could be better by adding a counter and taking out the clothing rack. You are in an old house so you do hear other people easily but luckily all the other guests were quiet when I was there
But at the price, the location the wonderful bed and the garden view. I’d stay here again!The deluxe family suite is without a doubt, the most wonderful home away from home we could hope for. Everything has exceeded expectations and we will definitely be back in the future. I highly recommend this gem.It was was like visiting Europe with the old fashioned touches and brick. Lovely gardens. Unique suites named after artists. Our roomBoth Cindy and Johnny were warm and welcoming! Our suite was goegeous with a large free standing tub. We came for snowmegeden 2022 and the paths were cleared by the time we woke up the morning which we greatly appreciated ! The location of this place is second to none its a 3 mim walk to the heart of the waterfront. Great for tourists !Maclure Suite-3.5/4

Beautiful beautiful spot. Aspects of this amazing place are 5 Star all day long. Could be. Should be 5 star.  This place has it all.  Location. Gracious hosts. On site management. Character.  Charm. Space.  Fire places in almost every room ad an amazing ambiance.  The dining room and kitchen are grand.  The ceilings are high.  The lighting is good. The newly renovated bathrooms are beautiful. The towels are fresh. The rain showers a nice touch.  The heritage decor is on point.  There is no lack of amenities from the kitchen to the bathrooms.  The beds are comfortable and the bedding nice. The areas that could use improvement include the aging parts of the kitchen with some drawers and cupboards falling apart.  Faces coming off.  For such a grand kitchen the apartment size refrigerator is underwhelming. This would be an obvious upgrade. Something stainless with ice and water etc. The frying pans where all but useless.  Having said that any feedback we had for Cindy and Bernie was well received and responded to promptly with an expressed desire to make it right. They seemed to appreciate the feedback.  We were impressed with this level of care on Thanksgiving weekend.

There are fans but no AC.  Was a little warm. Windows don’t open. Everything above head height in the unit needs a deep deep clean. Thick dust.

All in all we will return. We would recommend. With some deep cleaning and a few items attended to it would not take much for this beautiful place to be a consistent 5 star.

Bernie and Cindy said someone would come over while we were out today to address the pans and the drawers and the cleaning. Someone did come around 7:00 pm after we returned home from a day out to clean a chandelier.   New pans were delivered today.  That was nice.  A deep clean of the whole unit of everything above head height is still in order to deal with thick dust and cobwebs.  The kitchen drawer is still broken.  I’m sure it will be fixed soon."
ChIJiZ3O9Yp0j1QRUxvZ6KYUYa8,The Craigmyle,4.2,48.4227279,-123.3445932,232,"Lovely old house, if old fashioned charm is what you're looking for this place is perfect.  Very clean, everything is updated as in state of the art showers and big comfy bed.  Rooms are small but the common area is large and welcoming.  Bring your own food as there is a kitchen for your useI have stayed at this charming boutique hotel in the past and had a fantastic experience. This time, the stay was very, very disappointing. The room was freezing cold, yet the description of the room clearly states there is no AC, not no heat. Also, the delicious breakfast was no longer included (yet the descriptions say free breakfast), the room and other areas were dirty, the coffee and hot water decanters downstairs were not refilled, and the shower head fell down and injured my daughter. Don’t expect to be able to plug in your devices either as there is only 1 wall outlet for lamps, fans, and heaters. For these reasons, I feel the high room rates are not justified, and I no longer recommend this hotel.We had a wonderful stay. We had the master suit and it had its own little kitchen so we’re able to bring home our leftovers from all the yummy restaurants we ate at. We loved sitting in the common room after our walk downtown. The view is breathtaking and it was nice and quiet.
Anyone complaining about the water temperature never grew up in a house with many people, sometimes you need to wait for it to heat up or just get up early.
We will be back.I stayed two nights in March 2023. Great homey B'n'B. Helpful and friendly staff. Super clean establishment! Downtown is in walking distance (15min walk). Quite and historic neighbourhood with quite some huge sequoia trees. Highly recommended.This is NOT a Bed and Breakfast.  This is more like a hostel.  There is no lovely owner that lives on site offering delicious breakfasts.  There is a jar that says ""$10.00 extra and CASH ONLY"" for a bun and bacon.  No where on their website does it say it's NOT a B & B.  When we said, B & B's offer breakfast, he replied ""show me where it says you get breakfast for free, and I'll give it to you"".   Also there is NO Hot Water in the shower.  A sign says wait 30 minutes... well, there never was hot water in the shower.  It's by the Castle, and it's a decent price, but it's not a lovely old B & B."
ChIJ7eul4YR0j1QRZi486foA07A,Best Western Plus Carlton Plaza Hotel,4.3,48.42743189999999,-123.3653271,1170,"We stayed here knowing we'd be doing some walking so the location wasn't a huge deal to us. If you're not super mobile, I'd suggest a hotel closer to the wharf. It's really just a 10 min. walk to the waterfront if you're going straight there. Ruby's next door is a great place for breakfast and prices are reasonable. The rooms are on the smaller side (NYC size) but they are well appointed and freshly updated. I'd easily stay here again. Even better, the service can't be beat! Everyone was just so nice!A gem of a hotel if you can manage a little bit of noise. My husband was working out of town in Victoria so my son and I decided to tag along and get a vacation out of it at the same time. The hotel location is amazing. It is walking distance to basically everything. It is located on a busier street so you can hear the road noise in your room. The hotel is aware of this and kindly provides earplugs for those this may affect. My son is 7 months old and the noise did not disrupt his sleep or routine. I personally did not find the noise too bad.
The staff at this hotel was incredible. They were all beyond kind. The parking arrangement is valet only and they always had my husbands truck ready to go for him every morning. Super quick and efficient if we hadn’t previously scheduled it…however with everything in walking distance we didn’t find we used it in the evening.
The room was clean and had everything provided. House cleaning is based on request instead of everyday…which worked well for our situation.I recommend staying here if you want to receive excellent customer service! We hadn't been to beautiful Victoria since before the pandemic. We decided to take the Clipper with hope that we could truly enjoy the experience of not having to drive and be centrally nearby points of interest. This Hotel offered that to us. The room, our view, and the staff were also great! The staff was very gracious about storing our luggage while we had a short wait for our room to be ready. We had arrived before noon. They texted us to let us know when the room was ready. They also extended check out for us, and stored our luggage again while we had a late breakfast in the restaurant that is attached to the Hotel. The staff even called a taxi for us to take back to the Clipper ferry. We were treated very well.  We are looking forward to our next trip back!Smack in downtown, which is great! Room that was given to us was clean and neat (King + Sofa). Noise insulation from street was also decent. Restrooms were clean and furnished with the basic amenities. The staff was polite and quick. Also thing to note is that parking is Valet and could take 15 minutes or so for them to get your car out. Price paid for the room was slightly higher than expected, but would stay again based on cleanliness and the location.Located perfectly 10 min walk from harbour, in the downtown, Stuff, service is absolutely Awesome!! A  Specially thanks to manager Nadine- excellent people skills !!! Front desk guys- Brenton, Jessica, Steve.. and more.. excellent messaging system, we had agreement on free parking- but otherwise parking is expensive!! Hotel super clean and comfortable!! Definitely will stay again
Thanks"
