place_id,name,avg_rating,lat,lng,user_ratings_total,reviews
ChIJ1e5UJJF0j1QR6VpPNf8TYiQ,Royal BC Museum,4.6,48.4198111,-123.3674497,8658,"Great museum has very nice and extensive exhibits. I went there when they had the wildlife photo-journalism exhibit which was a interesting one. It wasn’t busy whatsoever but I did go on a rainy Sunday around 3:00. Would definitely recommend going. It also seems like there was a third floor exhibit but for some reason it’s closed and I don’t know why. Maybe it will be open sometime in the future.The Grand Dame of Museums in Victoria, BC.  In the heart of the city; next to the Iconic Empress Hotel and across from the Famed Victoria Harbour. The displays in the different themed exhibits are awesome! The extensive information and detail in the displays is fabulous. Plan on spending a minimum of three hours; more, if your a history buff!This is one of the best museums we have visited. It has natural history, art, First People cultural history, and an interactive town/ship/ mine from British colonial history. Really great. Two weeks ago,  that section was closed for remodel. I'm hoping it is still as awesome as ever when it reopens.Great place to visit and learn about the ice age and stuff. They even had a showing of covid portraits which was cool.

Likes: it was cheap. $5 per person and it was absolutely worth it. Lots to see and learn.

Dislikes: Nothing I can think ofMust visit!! But set aside at least 3 hours for this place. On Saturdays(Summers I think) they are open until 10pm, which worked in our favour.There is so much information to absorb in limited time. During our visit - The first floor was dedicated for First Nations, Second floor of Animal evolution, Third floor was set aside for Stu the dinosaur (T-Rex fossil discovered in Canada) and the related discoveries. We also had the opportunity to visit -The Angkor wat display- which was excellent, but many of the idols were missing parts while on exhibition :(. The museum is well-maintained, clean, wheelchair accessible and has very friendly staff."
ChIJmXc0Z6J0j1QR4CJUS73dyZk,Fisherman's Wharf Park,4.5,48.42195,-123.3830139,7518,"A popular tourist attraction on the Victoria waterfront, near the floating homes (not houseboats). There are multiple food vendors, some of which also sell alcohol. Not all businesses were open on a Sunday evening.

Expect crowds, but a fun spot to find and enjoy the waterfront, especially at sunset.

Water taxis available to take you anywhere around the harbor for $12/person one way. There is a parking lot near the children's playground.

The area is walking distance to Old Town.

There is one restroom on the dock.Man,we loved this place!!! Great tiny little restaurants and bars on the water across from a marina. Heads up, some of these quaint little houses are available through Air BnB so check before you book a hotel. You can walk right into the heart of the city from there. Beautiful views at night when all the lights come on. Worth the visit. You will need at least three or more days to take in all that is offered in this city. Enjoy!Lovely place with colourful buildings on the water. In the place you can see restaurants, ice cream shop, galleries and houses. There are public washrooms in the place. Really nice atmosphere. Next to the place there is a big lawn and small playground. There is a pay parking lot and free parking spots on the street. Highly recommended to visit here.This is pretty. Unfortunately we were there on a rainy day. I like colors of shops and houses. I wonder what benefit private home owners get bit allowing visitors walk besides their homes? I do not think it is fun to live there were you would be on the public eyes all the time. I liked seeing houses, shops and water taxes, a pretty picture. We had fish and fries and I did not enjoy fish at all. It was fish with very bland batter and was not tasty at all atheist for me.  Overall it is a mist visit place for sure.Beautiful place 😍  . With floating  houses  . And restaurants  . Its a must see in Victoria  . Its got Washrooms and car / bike   parking  and nearby public transportation.    . Its nice marina  .  And green park with a kids play ground and  picnic tables and Adirondack chairs  .  Note its fall season  not every restaurant or business is open here ,but still some  are open here even in fall season  .   The pizza  ,gifts  shop ,the candy shop are closed  . The ferry boat does  stops here  .   Summer  looks more lively for this place in terms of places here being open .   Thier is one house boat B&B   but the rest of the  floating houses are definitely not open to public they are private residents  but people can walk on the open docks to view them . Its pay parking  . And free  bicycle parking."
ChIJ13vUgIp0j1QRbx3mZXLZILI,Craigdarroch Castle,4.5,48.42262940000001,-123.3437226,4836,"This is a neat, old castle that was built well over a hundred years ago. Unfortunately they were not allowing tours when we visited as repairs had to be made. That said, parking on the street is free and walking the grounds is as well. There is a large, grassy area on the north side that the neighborhood kids were playing football in.

If you can get here for a tour, I think it would be well worth the fee. As is, I was able to enjoy some kids making use of the acoustics of one of the openings below parking level and snap several photos. There is a lot of history in Victoria and this is just one example.This is a relatively small castle. However, I spent almost 2 hours there! The staff and volunteers are super nice and helpful! They also show that they do care about the castle! If you have any questions, ask them! They gave me a lot of information outside the brochure!

The restoration work is an ongoing process, so some of the rooms are not fully restored. I guess I could come back for a second visit after a few years!Visited here during my trip to Victoria and it was absolutely worth it. My favorite part was the fact I was able to walk around freely without a tour. I personally am not a fan of tours with random people. There was staff however throughout the building incase you had questions and they were also super friendly and knowledgeable on the place. The place is an amazing piece architecture, with such deep history. Definitely a must visit if your looking for something to do.Friendly staff. They will answer questions about the castle. A castle build with some modern technology. Some rooms were converted during college use. Some were restored to original.  It has flush toilets. A shaft next to kitchen to bring food up. Make sure to enjoy stain glasses. Some stairs are a bit steep when going down. Visitors center has clean bathrooms. Parking can be a bit hard.The one activity planned today was to visit the Craigdarroch Castle – more of a 5 story Victorian mansion. Frozen in time was a good description of the mansion as the ornately decorated rooms reflected the period. The map with information was an excellent guide as were the staff who offered us additional information as we went from floor to floor or asked if we had any questions. And the storyboards provided more information on the family, the building or its rich history (home, hospital, college, etc.). Excellent stained glass, wood work and tile. Thoroughly enjoyed the visit on this hot Mother’s Day."
ChIJa4uQ3-p0j1QRDtSaFQ5NHrQ,Beacon Hill Park,4.7,48.4122222,-123.3627779,8431,"This is a beautiful and well thought-out park. There is a really tall totem pole, a tennis court, a lawn bowling (croquet for the Americans), a long beach walk, a series of groomed, wood chip trails through woods as well as concrete and a children's playground.

While we were there we were lucky to come across a peacock, sparring for crumbs with a squirrel and an owl we interrupted the lunch hunt for. There were many birds, squirrels and creatures talking and singing as we walked through the woods. The beach trails is impressively long and gorgeous. There are many flowers still blooming in mid-June along the walking path. There is an unfenced, grassy area between the road and the beach path where dogs are allowed off leash. On the path, they are requested to be on-leash.

The park is not large but packs a lot in for the space it takes. I would highly recommend a visit.

Parking is free for up to three hours and thirty minutes. Washrooms are available in a brick and mortar building and are automatically flushing. They are gendered however.This is one of the coolest city parks I've been to. It seems to shift in ecosystem so drastically as you walk through it. It is well maintained and the park staff have been very open to questions. It is a lovely way to make your way to the shore, with many different paths to explore. The summer concert series was absolutely delightful, and I look forwards to next year. Be warned: there is a lot of water fowl poop in some areas, so look before you sit!One of the best parks here in Victoria. The best for joggers and cyclists. The Beacon Hill Children' s farm in here is a major attraction for kids and adults with a petting zoo. This beautiful park is full of majestic dancing peacocks , Goose's and Ducks and tonnes of HeronsAmazing sight to behold here. The peacocks,  Canadian geese, and cranes fill the air with noise. The pathways and restroom facility are well maintained. The big trees, willows, and unique vegetation make for plenty of sights. Go to the beach after your walk in the park for an amazing contrast of nature.Beautiful park.  Now that there isn't any tents everywhere you can appreciate the beauty of the park again!

They have ponds everywhere, and flower gardens that are well maintained, and the wildlife has returned to the park. Highly recommend coming to the park for an hour. Lots of space to read a book or just enjoy life."
ChIJS9YYcJB0j1QRPWHIFtwTr18,Victoria Bug Zoo,4.5,48.4232996,-123.3666683,1821,"My daughter and I had a fantastic time at the bug zoo. It’s a bit smaller than I was expecting but there are a lot of bugs to see!

My favorite part of the zoo were the people. I’ve genuinely never went to a place where every single person working there seemed like they found their calling. The workers are passionate about bugs and it shows! It was such a fun experience for my little one learn and touch some bugs!Bug / Gift shop is free to enter. A lot of fun toys and gifts are available for decent prices. The actual paid access has some really cool insects and bugs on display if you can stomach it. Great for kids to see, touch (yes I said touch) and learn about. The facilitators are energetic and enjoy sharing their knowledge. Parents - this is legit a 20 - 40 min visit though. Plan accordingly. Overall - fun atmosphere for kids to learn about bugs and insects.Visited this hidden gem recently and was amazed by the quality engaged educators, service, and family fun this place offers!

We were allowed to hold stick bugs, millipedes, horney devils, touch beetles and more. The content was age appropriate and entertaining.

We witnessed a rare sight when a cockroach was seen giving live birth. Right next to another one that was freshly molted.

The ant display was neatly organized along the walls. They had spiders and praying mantis.

A good place to bring your children. It's a small (mini) zoo but they can spend time reading and learning.An awesome place to go if you're a lover of entomology, and regardless of whether you're a little kid, or a senior citizen, or a college student, or whatever, it's very welcoming.

The folks working there are really nice - the tour guide was informative and clearly cared a lot about their bugs, and the bugs themselves all seem to be doing well :)What a great place to visit with or without kids. Our group - 6 adults enjoyed our experience very much. From the moment we walked in we were greeted with a warm welcome and once we were ready we were taken to another room with all the creapy crawlies. At the time they had 2 lovely ladies explaining and answering any and all questions from visitors. Both ladies loved what they did as they talked with such love and passion for the animals which made me very comfortable being around spiders and other crawly critters. I would definitely recommend the Bug Zoo!"
ChIJ5ZScPpF0j1QRBLCY8tTvWsM,Thunderbird Park,4.3,48.4197936,-123.3666803,203,"Like the totems and of course worth visiting the place once.. free and just in. The corner of street. U can visit that while walking to beach hill parkIt's a minimalist location. More of a park with heritage to experience. It's changed over the years. There used to be more totems but things get old and totems are supposed to degrade over time. It's great that our indigenous people have a place to display their heritage. I always enjoy seeing the display here. I hope it continues.What a great collection of amazing Indigenous artwork! There are several totem poles of various designs all within close proximity to one another. If you're in Victoria, you should take the time to walk through the park and check out these totem poles!Easy walk to, right beside museum and empress.Interesting poles, some slightly phallic in design 🙈"
ChIJe6rc4Zp0j1QRGdn5alXwQtE,The Maritime Museum of British Columbia,3.8,48.4218702,-123.36631,165,"Its currently two big rooms  at this new location  .  They got a mini kids area here . Its not the big amount of museum collection like at the old location  but they are working on moving into a bigger location in  future &  the  government  needs to  help  them out better  . I always love the maritime museum of Victoria   and love supporting them 💗.     They currently got a fishing exhibit on .  The museum is LGTBQ+and wheelchair and pet friendly . And its free for kids under 12 and free for indigenous folks.Kinda sad really.
There's a room, maybe 150 sq ft with some models of ships ( really nice models, very detailed some 4' long ).
Maybe 10 or 12 ships.
There's another room with some examples of knots sailers use.
There's a box with 1 side gravel and 1 side sand and some miniature examples of various types of anchors you can put in the gravel / sand and see how they grab the bottom.
That's about it.
$10.00 admission, we looked around and read the little info cards on the model ships and were out in about 20 minutes.
I was totally underwhelmed and disappointed. You'd think we could do better.I am not really a big boat enthusiast but decided to check it out when they had an open house on Victoria day long weekend. I was pleasantly surprised to see a fabulous art show at the back of the museum (see attached pics) so it was well worth the visit for me. It is very small but it would take quite awhile to read and listen to everything they had on display there.The absolute worst way to spend $21.00. It would have been more entertaining flushing my money down the toilet than visiting this museum. It consists of 2 small rooms, smaller than my bedroom. Very over-priced, left a lot to be desired. Needs improvement. After 5 minutes you have seen all there is to see. Don't waste your money.As the other reviews have said... Very small. If the fee was maybe cheaper, it would be ok (and maybe attract more customers). Only went in for the Saturday themed playgroup which was good... If I paid just for the museum, it's not ok.."
ChIJQRgei5B0j1QRPcfjFwsz8Rc,Miniature World,4.6,48.4223763,-123.3669183,2222,"This place is so freaking cool. I thought it was maybe going to be a tourist trap but I'm so glad I went in. I can't even imagine the amount of work it must've taken to craft all these miniature scenes. Incredible amount of detail and so fun to look at. I loved that it was interactive with buttons to make things move and light up! If you're on the fence about visiting, do it!I brought my children here and they were fascinated with all the detail and how they could see inside many buildings. The displays are brought to life with trains that move or figurines doing light action sequences. The interactive buttons to press for noises or commentary are a nice touch as well. Staff were very courteous and helpful. It's great to see that this place is still available for us inquisitive adults and the little ones in our lives. We will be back next year.This place is great! Price is fairly affordable, and the detail in these dioramas is insane! If you don't care for details, you might blow through this place pretty quickly. But if you take your time to look at all the intricate details you can easily spend an hour or more here. Some of the displays have interactive buttons that make things happen on the diorama itself which is pretty cool. I think the only thing that would be cool is if they had some modern-day dioramas as well as all the old historic stuff.Went on a Sunday, there was no line up.
Outside is deceiving, once you go through you realize how big the museum is. It's interactive great for all ages.
Great history lesson with a little fairytale fun as well.
Highly recommend!Really enjoyed our trip to Miniature World. The thing I loved the most was not only was each display really detailed, there were descriptions above each display depicting what it was with some historical information too.

Personally highlight was the Canadian railway stretching from Vancouver in the west to the Atlantic coast in the East."
ChIJtYLvXIN0j1QRt8-HC3oDBHI,Victoria’s Chinatown,4.2,48.4293744,-123.3673305,4004,"Arguably the most vibrant place in Victoria. I walk through here all the time because the vibe of the space is so good. I love the sidewalk food options and the flow of the sidewalks through here. Such a special place and so many wonderful places to eat. Spend some time just sitting and watching the comings and goings.What a fun place to visit... we took a water taxi across the bay from Fisherman's Wharf to Chinatown it was a fun and different experience for only $12 a person. We had a cool  match on ice with almond milk. Right next to the Fan Alley.. it was yummy.
Note: a lot of items are listed in Canadian prices and our US $1.00 is equivalent to $1.20The home of then Famous Fan tan alley(Narrowest alley) and First Chinatown in Canada. One of the nicest, cleanest and safest Chinatown’s in Canada. Super fun to visit both in the day time and night time when all the lights are shining. Overall a great place to visit. The Chinatown in Victoria, British Columbia is the oldest Chinatown in Canada and the second oldest in North America after San Francisco's.Come on down and check out Canada’s oldest Chinatown. Browse through the many shops, or eat at one of the restaurants. The tea restaurant was one of my favorites. There is such a rich culture packed into a small area. You most definitely have to take a walk down Fan Tan Alley!Very nice Chinatown, clean, compact and felt safe unlike here in Seattle. The restaurants looked amazing and I will be back to try them. The cherry blossoms were in full bloom!"
ChIJUaaUw1l0j1QRNah_wARUIWo,Abkhazi Garden,4.5,48.4157067,-123.3261834,487,"Lovely one acre garden, tucked away in a residential neighborhood.

11 a.m. - 5 p.m. No entrance fee, but donations encouraged. Parking on the street.

Volunteers greet you and answer questions in the garden.

Tea House in the former home. Lucked out for an opening for afternoon tea, but reservations encouraged. $55 per person. There is also a four course tea, elevenses, and a few extra add-ons available. The three course afternoon tea with a pot of tea of your choice is $54. Very tasty and beautifully presented.

Friendly service, lovely setting. Be warned there are lots of annoying wasps on the terrace that swarm the tea tray even with a napkin draped over the tiers. There is indoor seating available as well.

Restroom/washroom inside by hostess stand and next to the gift store.Had tea and a walk in the garden. Tea was pleasant and tasty. Not the fancy high end atmosphere of other places in town but more choices than some places including elevenses selection. Garden has some interesting specimens and a couple of amazing huge peonies. You can buy some plants here as well.We went here for my birthday to experience the high tea, I reserved ahead of time and we got a beautiful seat by the window with a view.

The food was delicious and the tea perfect! If you go to the tea house I highly recommend the Royal Abkhazi High Tea! It consists of 4 courses and the herbal tea I had was Angelwater.

The Gardens were stunning! With beautiful assortments of flowers and alot of history the volunteers told us so much about this beautiful place.

I highly recommend checking out this place, the food is amazing and the gardens (especially at this time of year) are beautiful and blooming.Abkhazi is Vancouver Island's secret garden. It is an absolutely beautiful garden that boasts huge old rhododendrons that are artfully placed throughout. Granite outcroppings dictate the shape of the surrounding garden beds. It is the jewel of the island. An added bonus is the quaint tea shop that serves high tea in China cups. There's no entrance fee, but they appreciate donations.Peaceful walk through a beautiful space! If you want to enjoy tea service you have to book ahead. Lovely gift shop featuring local Artisan treasures."
